id,season,prenda,nivel,subnivel,tipo_color_temporada,color,color_categoria,publishable,formales_informales,color_l,color_categoria_l,adventurous,application,basic,print,style,weather,talla_lookiero
32yQ321_bofrthrn_et,7,foulard,3,3.2,FRIOS/INVIERNO,garnet,ROJO,True,FR,y,C,three,freetime,no_especificado,ethnic,boho,warm_season,['UNQ']
32gQ321_bofrthrn_et,7,foulard,3,3.2,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,three,freetime,no_especificado,ethnic,boho,warm_season,['UNQ']
32gQ320_bofrthrn_ho,7,foulard,3,3.2,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,three,freetime,no_especificado,horizontal_stripes,boho,warm_season,['UNQ']
32qQ320_bofrthrn_ho,7,foulard,3,3.2,CALIDOS/VERANO,mustand,AMARILLO,True,FR,q,D,three,freetime,no_especificado,horizontal_stripes,boho,warm_season,['UNQ']
32anQ315_bowothrn_ge,7,foulard,3,3.2,FRIOS/INVIERNO,blue_klein,AZUL,True,FR,an,F,three,work,no_especificado,geometric,boho,warm_season,['UNQ']
32alQ315_bowothrn_ge,7,foulard,3,3.2,CALIDOS/VERANO,blue_turquoise,AZUL,True,FR,al,F,three,work,no_especificado,geometric,boho,warm_season,['UNQ']
32eQ315_bowothrn_ge,7,foulard,3,3.2,CALIDOS/VERANO,yellow,AMARILLO,True,FR,e,D,three,work,no_especificado,geometric,boho,warm_season,['UNQ']
32anQ316_bowothrn_ge,7,foulard,3,3.2,FRIOS/INVIERNO,blue_klein,AZUL,True,FR,an,F,three,work,no_especificado,geometric,boho,warm_season,['UNQ']
32eQ316_bowothrn_ge,7,foulard,3,3.2,CALIDOS/VERANO,yellow,AMARILLO,True,FR,e,D,three,work,no_especificado,geometric,boho,warm_season,['UNQ']
32dQ316_bowothrn_ge,7,foulard,3,3.2,CALIDOS/VERANO,red,ROJO,True,FR,d,C,three,work,no_especificado,geometric,boho,warm_season,['UNQ']
32ajB408_bofrthrn_sm,7,bag,3,3.2,CALIDOS/VERANO,coral,ROJO,True,N,aj,C,three,freetime,no_especificado,smooth,boho,warm_season,['UNQ']
32hB408_bofrthrn_sm,7,bag,3,3.2,FRIOS/INVIERNO,green_dark,VERDE,True,N,h,G,three,freetime,no_especificado,smooth,boho,warm_season,['UNQ']
32amB408_bofrthrn_sm,7,bag,3,3.2,FRIOS/INVIERNO,nude,MARRÓN,True,N,am,B,three,freetime,no_especificado,smooth,boho,warm_season,['UNQ']
32hB412_bofrthrn_sm,7,bag,3,3.2,FRIOS/INVIERNO,green_dark,VERDE,True,N,h,G,three,freetime,no_especificado,smooth,boho,warm_season,['UNQ']
32gQ309_clwotwon_ge,7,foulard,3,3.2,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,two,work,no_especificado,geometric,classic,warm_season,['UNQ']
32gQ306_bowotwon_fl,7,foulard,3,3.2,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,two,work,no_especificado,floral,boho,warm_season,['UNQ']
32gQ305_cawotwon_ho,7,foulard,3,3.2,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,two,work,no_especificado,horizontal_stripes,casual,warm_season,['UNQ']
21gS2239_bowothr0_mi,9,shirt,2,2.1,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,three,work,0,miniprint,boho,warm_season,"['S', 'M', 'XL', 'XS', 'L']"
11aF1246_bofrthr0_sm,9,skirt,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,FR,a,A,three,freetime,0,smooth,boho,cold_season,"['L', 'XL', 'XS', 'S', 'M']"
11lF1246_bofrthr0_sm,9,skirt,1,1.1,FRIOS/INVIERNO,brown,MARRÓN,True,FR,l,B,three,freetime,0,smooth,boho,cold_season,"['XL', 'XS', 'L', 'M', 'S']"
11ahF1246_bofrthr0_sm,9,skirt,1,1.1,FRIOS/INVIERNO,taupe,MARRÓN,True,FR,ah,B,three,freetime,0,smooth,boho,cold_season,"['XL', 'L', 'M', 'S', 'XS']"
21uC936_cafrthr0_ho,7,t-shirt,2,2.1,CALIDOS/VERANO,orange,NARANJA,True,IR,u,J,three,freetime,0,horizontal_stripes,casual,cold_season,"['M', 'XL', 'L', 'XS', 'S']"
21gC936_cafrthr0_ho,7,t-shirt,2,2.1,FRIOS/INVIERNO,blue_dark,AZUL,True,IR,g,F,three,freetime,0,horizontal_stripes,casual,cold_season,"['L', 'M', 'S', 'XL', 'XS']"
12anD1590_clfrthr0_fl,7,dress,1,1.2,FRIOS/INVIERNO,blue_klein,AZUL,True,N,an,F,three,freetime,0,floral,classic,warm,"['XXL', 'L', 'M', 'S', 'XL', 'XXXL']"
